pokedex_number,name,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,height_m,weight_kg,generation,is_legendary
1,Bulbasaur,45,49,49,65,65,45,grass,poison,0.7,6.9,1,0
2,Ivysaur,60,62,63,80,80,60,grass,poison,1,13,1,0
3,Venusaur,80,100,123,122,120,80,grass,poison,2,100,1,0
4,Charmander,39,52,43,60,50,65,fire,,0.6,8.5,1,0
5,Charmeleon,58,64,58,80,65,80,fire,,1.1,19,1,0
6,Charizard,78,104,78,159,115,100,fire,flying,1.7,90.5,1,0
7,Squirtle,44,48,65,50,64,43,water,,0.5,9,1,0
8,Wartortle,59,63,80,65,80,58,water,,1,22.5,1,0
9,Blastoise,79,103,120,135,115,78,water,,1.6,85.5,1,0
10,Caterpie,45,30,35,20,20,45,bug,,0.3,2.9,1,0
11,Metapod,50,20,55,25,25,30,bug,,0.7,9.9,1,0
12,Butterfree,60,45,50,90,80,70,bug,flying,1.1,32,1,0
13,Weedle,40,35,30,20,20,50,bug,poison,0.3,3.2,1,0
14,Kakuna,45,25,50,25,25,35,bug,poison,0.6,10,1,0
15,Beedrill,65,150,40,15,80,145,bug,poison,1,29.5,1,0
16,Pidgey,40,45,40,35,35,56,normal,flying,0.3,1.8,1,0
17,Pidgeotto,63,60,55,50,50,71,normal,flying,1.1,30,1,0
18,Pidgeot,83,80,80,135,80,121,normal,flying,1.5,39.5,1,0
19,Rattata,30,56,35,25,35,72,normal,dark,,,1,0
20,Raticate,75,71,70,40,80,77,normal,dark,,,1,0
21,Spearow,40,60,30,31,31,70,normal,flying,0.3,2,1,0
22,Fearow,65,90,65,61,61,100,normal,flying,1.2,38,1,0
23,Ekans,35,60,44,40,54,55,poison,,2,6.9,1,0
24,Arbok,60,95,69,65,79,80,poison,,3.5,65,1,0
25,Pikachu,35,55,40,50,50,90,electric,,0.4,6,1,0
26,Raichu,60,85,50,95,85,110,electric,electric,,,1,0
27,Sandshrew,50,75,90,10,35,40,ground,ice,,,1,0
28,Sandslash,75,100,120,25,65,65,ground,ice,,,1,0
29,Nidoran♀,55,47,52,40,40,41,poison,,0.4,7,1,0
30,Nidorina,70,62,67,55,55,56,poison,,0.8,20,1,0
31,Nidoqueen,90,92,87,75,85,76,poison,ground,1.3,60,1,0
32,Nidoran♂,46,57,40,40,40,50,poison,,0.5,9,1,0
33,Nidorino,61,72,57,55,55,65,poison,,0.9,19.5,1,0
34,Nidoking,81,102,77,85,75,85,poison,ground,1.4,62,1,0
35,Clefairy,70,45,48,60,65,35,fairy,,0.6,7.5,1,0
36,Clefable,95,70,73,95,90,60,fairy,,1.3,40,1,0
37,Vulpix,38,41,40,50,65,65,fire,ice,,,1,0
38,Ninetales,73,67,75,81,100,109,fire,ice,,,1,0
39,Jigglypuff,115,45,20,45,25,20,normal,fairy,0.5,5.5,1,0
40,Wigglytuff,140,70,45,85,50,45,normal,fairy,1,12,1,0
41,Zubat,40,45,35,30,40,55,poison,flying,0.8,7.5,1,0
42,Golbat,75,80,70,65,75,90,poison,flying,1.6,55,1,0
43,Oddish,45,50,55,75,65,30,grass,poison,0.5,5.4,1,0
44,Gloom,60,65,70,85,75,40,grass,poison,0.8,8.6,1,0
45,Vileplume,75,80,85,110,90,50,grass,poison,1.2,18.6,1,0
46,Paras,35,70,55,45,55,25,bug,grass,0.3,5.4,1,0
47,Parasect,60,95,80,60,80,30,bug,grass,1,29.5,1,0
48,Venonat,60,55,50,40,55,45,bug,poison,1,30,1,0
49,Venomoth,70,65,60,90,75,90,bug,poison,1.5,12.5,1,0
50,Diglett,10,55,30,35,45,90,ground,ground,,,1,0
51,Dugtrio,35,100,60,50,70,110,ground,ground,,,1,0
52,Meowth,40,35,35,50,40,90,normal,dark,,,1,0
53,Persian,65,60,60,75,65,115,normal,dark,,,1,0
54,Psyduck,50,52,48,65,50,55,water,,0.8,19.6,1,0
55,Golduck,80,82,78,95,80,85,water,,1.7,76.6,1,0
56,Mankey,40,80,35,35,45,70,fighting,,0.5,28,1,0
57,Primeape,65,105,60,60,70,95,fighting,,1,32,1,0
58,Growlithe,55,70,45,70,50,60,fire,,0.7,19,1,0
59,Arcanine,90,110,80,100,80,95,fire,,1.9,155,1,0
60,Poliwag,40,50,40,40,40,90,water,,0.6,12.4,1,0
61,Poliwhirl,65,65,65,50,50,90,water,,1,20,1,0
62,Poliwrath,90,95,95,70,90,70,water,fighting,1.3,54,1,0
63,Abra,25,20,15,105,55,90,psychic,,0.9,19.5,1,0
64,Kadabra,40,35,30,120,70,105,psychic,,1.3,56.5,1,0
65,Alakazam,55,50,65,175,105,150,psychic,,1.5,48,1,0
66,Machop,70,80,50,35,35,35,fighting,,0.8,19.5,1,0
67,Machoke,80,100,70,50,60,45,fighting,,1.5,70.5,1,0
68,Machamp,90,130,80,65,85,55,fighting,,1.6,130,1,0
69,Bellsprout,50,75,35,70,30,40,grass,poison,0.7,4,1,0
70,Weepinbell,65,90,50,85,45,55,grass,poison,1,6.4,1,0
71,Victreebel,80,105,65,100,70,70,grass,poison,1.7,15.5,1,0
72,Tentacool,40,40,35,50,100,70,water,poison,0.9,45.5,1,0
73,Tentacruel,80,70,65,80,120,100,water,poison,1.6,55,1,0
74,Geodude,40,80,100,30,30,20,rock,ground,,,1,0
75,Graveler,55,95,115,45,45,35,rock,ground,,,1,0
76,Golem,80,120,130,55,65,45,rock,ground,,,1,0
77,Ponyta,50,85,55,65,65,90,fire,,1,30,1,0
78,Rapidash,65,100,70,80,80,105,fire,,1.7,95,1,0
79,Slowpoke,90,65,65,40,40,15,water,psychic,1.2,36,1,0
80,Slowbro,95,75,180,130,80,30,water,psychic,1.6,78.5,1,0
81,Magnemite,25,35,70,95,55,45,electric,steel,0.3,6,1,0
82,Magneton,50,60,95,120,70,70,electric,steel,1,60,1,0
83,Farfetch'd,52,90,55,58,62,60,normal,flying,0.8,15,1,0
84,Doduo,35,85,45,35,35,75,normal,flying,1.4,39.2,1,0
85,Dodrio,60,110,70,60,60,110,normal,flying,1.8,85.2,1,0
86,Seel,65,45,55,45,70,45,water,,1.1,90,1,0
87,Dewgong,90,70,80,70,95,70,water,ice,1.7,120,1,0
88,Grimer,80,80,50,40,50,25,poison,poison,,,1,0
89,Muk,105,105,75,65,100,50,poison,poison,,,1,0
90,Shellder,30,65,100,45,25,40,water,,0.3,4,1,0
91,Cloyster,50,95,180,85,45,70,water,ice,1.5,132.5,1,0
92,Gastly,30,35,30,100,35,80,ghost,poison,1.3,0.1,1,0
93,Haunter,45,50,45,115,55,95,ghost,poison,1.6,0.1,1,0
94,Gengar,60,65,80,170,95,130,ghost,poison,1.5,40.5,1,0
95,Onix,35,45,160,30,45,70,rock,ground,8.8,210,1,0
96,Drowzee,60,48,45,43,90,42,psychic,,1,32.4,1,0
97,Hypno,85,73,70,73,115,67,psychic,,1.6,75.6,1,0
98,Krabby,30,105,90,25,25,50,water,,0.4,6.5,1,0
99,Kingler,55,130,115,50,50,75,water,,1.3,60,1,0
100,Voltorb,40,30,50,55,55,100,electric,,0.5,10.4,1,0
101,Electrode,60,50,70,80,80,150,electric,,1.2,66.6,1,0
102,Exeggcute,60,40,80,60,45,40,grass,psychic,0.4,2.5,1,0
103,Exeggutor,95,105,85,125,75,45,grass,psychic,,,1,0
104,Cubone,50,50,95,40,50,35,ground,,0.4,6.5,1,0
105,Marowak,60,80,110,50,80,45,ground,fire,,,1,0
106,Hitmonlee,50,120,53,35,110,87,fighting,,1.5,49.8,1,0
107,Hitmonchan,50,105,79,35,110,76,fighting,,1.4,50.2,1,0
108,Lickitung,90,55,75,60,75,30,normal,,1.2,65.5,1,0
109,Koffing,40,65,95,60,45,35,poison,,0.6,1,1,0
110,Weezing,65,90,120,85,70,60,poison,,1.2,9.5,1,0
111,Rhyhorn,80,85,95,30,30,25,ground,rock,1,115,1,0
112,Rhydon,105,130,120,45,45,40,ground,rock,1.9,120,1,0
113,Chansey,250,5,5,35,105,50,normal,,1.1,34.6,1,0
114,Tangela,65,55,115,100,40,60,grass,,1,35,1,0
